0.	0.	0.
1.	1.99441262e-17	2.11495377e-10
2.	0.00015377	1.9609397e-07
3.	0.00060643	2.97921499e-06
4.	0.00134497	1.45498049e-05
5.	0.0023564	4.44097544e-05
6.	0.00362773	0.00010464
7.	0.00514596	0.00020916
8.	0.0068981	0.00037307
9.	0.00887115	0.00061193
10.	0.01105211	0.00094119
11.	0.01342801	0.00137561
12.	0.01598582	0.00192885
13.	0.01871257	0.00261304
14.	0.02159526	0.00343852
15.	0.0246209	0.00441371
16.	0.02777648	0.00554486
17.	0.03104901	0.00683668
18.	0.03442551	0.00829008
19.	0.03789296	0.00990878
20.	0.04143839	0.01169441
21.	0.04504879	0.01364307
22.	0.04871117	0.0157516
23.	0.05241254	0.01804066
24.	0.05613989	0.02049192
25.	0.05988024	0.02324961
