10	4 	1.000722754771361	0.0
10	6 	1.0007227542755763	0.0
10	8 	1.0007227530546658	0.0
10	10 	1.0007227520447803	0.0
20	4 	1.002855337469421	0.0
20	6 	1.002855411084608	0.0
20	8 	1.0028554103450813	0.0
20	10 	1.0028554105449423	0.0
30	4 	1.0108694679641914	0.0
30	6 	1.0108709053292433	0.0
30	8 	1.0108708794828616	0.0
30	10 	1.0108708584877792	0.0
40	4 	1.035744393171375	0.0
40	6 	1.0357638100752034	0.0
40	8 	1.0357625771571097	0.0
40	10 	1.0357622610624118	0.0
50	6 	1.0691073435877996	0.0
50	8 	1.0690854184639194	0.0
50	10 	1.0690819050120306	0.0
60	8 	1.0654421588683751	0.0
60	10 	1.0655345501450606	0.0
